name,tags,view_url,direct_url
Smug,anime;smug,https://cdn.discordapp.com/attachments/1412481571612524615/1440724188447899858/anime-anime-girl.gif?ex=691f3275&is=691de0f5&hm=12faf4a109571e7b76e649da428b20139a09c96734ecc5614db2926654bb9820&,https://cdn.discordapp.com/attachments/1412481571612524615/1440724188447899858/anime-anime-girl.gif?ex=691f3275&is=691de0f5&hm=12faf4a109571e7b76e649da428b20139a09c96734ecc5614db2926654bb9820&
Nervous,anime;nervous;panic,https://tenor.com/view/marin-kitagawa-oh-no-nervous-panic-anime-gif-16426984090579704457,https://c.tenor.com/4_he_xn_GokAAAAC/marin-kitagawa-oh-no.gif
Woah,anime;woah;wow,https://tenor.com/view/woah-shocked-sparkly-eyes-what-anime-gif-17316344,https://c.tenor.com/UIwrnt4JrDUAAAAC/woah-shocked.gif
What,anime;what;blank,https://tenor.com/view/esiledoodles-esiledoodles-cora-esile-esiledoodles-deadpan-anime-gif-15216314118662597519,https://c.tenor.com/0ys1EkmlK48AAAAC/esiledoodles-esiledoodles-cora.gif
Ugh,anime;ugh;despair;headbang,https://tenor.com/view/anime-headbang-sulking-despair-depression-gif-9824235085799383974,https://c.tenor.com/iFaxwm8AY6YAAAAC/anime-headbang.gif
Blush,anime;blush,https://tenor.com/view/kitagawa-marin-sono-bisque-doll-wa-koi-wo-suru-shy-girl-bashful-gif-24604597,https://c.tenor.com/0znANC2b_OkAAAAC/kitagawa-marin.gif
Blush,anime;blush,https://tenor.com/view/sumi-sakurasawa-rent-a-girlfriend-anime-kanojo-okarishimasu-blushing-gif-26339491,https://c.tenor.com/FRunV08QBXwAAAAC/sumi-sakurasawa-rent-a-girlfriend.gif
Haiii!,anime;hai;hello;hi,https://tenor.com/view/haii-haiii-hi-hiii-hi-cutie-gif-9255945673870042833,https://c.tenor.com/gHO5jN9WZtEAAAAC/haii-haiii.gif
Blush,anime;blush,https://tenor.com/view/tsumugi-wenders-wenders-tsumugi-tsumugi-wenders-girl-gif-4074407761346542571,https://c.tenor.com/OIs0RZUnu-sAAAAC/tsumugi-wenders.gif
Yay!,anime;yay;excited,https://tenor.com/view/yay-yeah-happy-dance-gif-1332503735060039432,https://c.tenor.com/En4BFk4ihwgAAAAC/yay-yeah.gif
Embarassed,anime;blush;fluster;embarassed;shy,https://tenor.com/view/shy-anime-embarassed-girl-gif-15974488,https://c.tenor.com/VrfSZUjiWn4AAAAC/shy-anime.gif
Cuddle,anime;cuddle;hug,https://tenor.com/view/hug-happy-hugging-friends-cute-gif-7898446808540296103,https://c.tenor.com/bZzrhkxcs6cAAAAC/hug-happy.gif
Nuzzle,anime;cuddle;nuzzle,https://tenor.com/view/anime-toyama-kasumi-bandori-bang-dream-nuzzle-gif-13135982,https://c.tenor.com/7O9o5uE9g1oAAAAC/anime-toyama-kasumi.gif
Smug,anime;smug,https://tenor.com/view/anime-smug-smile-gif-5566108777736045771,https://c.tenor.com/TT7KcV4kBMsAAAAC/anime-smug.gif
